name,price
itel Portable USB Fan Table Fan (S404),"₦ 9,800"
Jourmind USB Type C Hub HDMI 4K Adapter Converter With USB 3.0 And Charging Port 3in1,"₦ 9,349"
"GAOMON 【Local Shipping& Fast Delivery】GAOMON S620 6.5 X 4"" Graphics Drawing Tablets With 4 Keys","₦ 32,933"
Oraimo SmartOffice Wireless Keyboard Mouse Combo,"₦ 28,500"
Oraimo HyperType Wired Mechanical Keyboard With Detachable Wrist Rest,"₦ 30,200"
SanDisk 128GB Ultra Dual USB Type-C OTG  (SDDDC3-128G-G46),"₦ 20,200"
SanDisk 64GB Cruzer Blade USB Flash Drive,"₦ 8,000"
SanDisk 16GB Cruzer Blade Flash Drive,"₦ 7,000"
SanDisk 64GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 9,900"
SanDisk 1TB Extreme Portable SSD 1050Mb/s,"₦ 215,600"
Hp Elitebook 830 G7 Touch Screen Intel Core I7 512SSD/16GB RAM Win 11 Pro,"₦ 850,000"
SanDisk 1TB Extreme Portable SSD 800mb/s,"₦ 133,000"
SanDisk 64GB OTG Dual Drive 2.0,"₦ 5,300"
"Apple MacBook Air 13.3"" 8GB RAM/256GB M1 Processor - Space Grey","₦ 1,390,999"
Hp 15 Victus Gaming 12th Gen Intel Core I5 8GB RAM/512GB SSD 4GB Nvidia GTX 1650 Win 11,"₦ 1,170,000"
SanDisk 16GB Cruzer Blade Flash Drive - Black,"₦ 5,700"
SanDisk 64GB Ultra Dual USB Type-C OTG Flash Drive,"₦ 14,500"
Apple Magic Mouse 3 - White,"₦ 115,999"
Raspberry Pi 4 Model B Case,"₦ 15,500"
"Apple MacBook Pro 16.2"" M2 Pro Chip 16GB RAM/512GB SSD 12-core CPU/19-core GPU - Silver","₦ 3,200,999"
Hp Envy 14 X360 13th Gen Intel Core I5 8GB RAM/512GB SSD Win 11,"₦ 970,000"
SanDisk USB 3.0 Cruzer Flair Flash Drive U Disk 64GB,"₦ 9,700"
SanDisk USB 3.0 Cruzer Flair Flash Drive U Disk 128GB,"₦ 16,500"
SanDisk 16GB Cruzer Blade Flash Drive,"₦ 5,990"
"Asus Zenbook UX325EA Core I7 13.3"" 8GB/512GB SSD Win 11 - Pine Grey","₦ 895,000"
SanDisk 64GB Ultra Dual USB Type-C OTG,"₦ 15,900"
"Asus X515EA Intel Core I7-1165G7 15.6"" 8GB RAM/256GB SSD Win 11","₦ 665,000"
SanDisk 128GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 17,730"
"Asus TUF Gaming F15 FX516PC Intel Core I7 15.6""16GB/512 SSD Nvidia GPU 4GB Win 11","₦ 1,569,990"
SanDisk 2TB Extreme Portable SSD,"₦ 269,350"
SanDisk 16GB Cruzer Blade 2.0 Flash Drive,"₦ 7,000"
SanDisk 64GB Cruzer Glide Flash Drive,"₦ 9,200"
SanDisk USB 3.0 Flash Drive Ultra Flair Memory Stick 16GB - Silver,"₦ 6,700"
Hp 15 Intel Pentium Silver 8GB RAM/1TB HDD Win 10 - Black,"₦ 450,900"
SanDisk 32GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 8,900"
SanDisk 128GB Ultra Dual USB Type-C OTG  (SDDDC2-128G-G46),"₦ 23,550"
SanDisk 32GB Glide 3.0 CZ600 USB Flash Drive - Intl,"₦ 7,900"
SanDisk 16GB Cruzer Glide 3.0 USB Flash Drive,"₦ 6,000"
SanDisk 8GB Cruzer Blade Flash Drive,"₦ 5,800"
